P_mW,I3,I4,I5,K3,K4,K5,g2_33,g2_44,g2_55,collapse_3,collapse_4,collapse_5
19.16,112166.7388888889,5324.0,54410.13333333334,2.958597699977624,0.0045115650361793455,3.7078642257274974,2.657957067919989,1.2,3.580349907041045,0.18940936578975323,9825.972652471226,0.18768560154126104
22.83,188384.06666666668,5328.211111111112,104204.58888888889,2.863845727298642,0.0033069064264665826,3.454018406318294,2.4649959829695094,4.909090909090909,3.141039952233846,0.17862292443158254,357463.7097773412,0.17946322846077786
27.39,311708.0888888889,5330.205555555556,186290.7,2.7036359503511136,0.000912879166335756,3.0123499004678607,2.257420049861128,1.75,2.6767736327329534,0.17202198537139504,899983.7581768587,0.18478367660378497
32.68,497161.60555555555,5330.022222222223,307594.5833333334,2.599877791103715,0.0009675257152430561,2.712992520031001,2.0424923840614793,1.7837837837837838,2.2848623849787404,0.15422934798664217,837281.0084525755,0.17456590423050666
38.63,762676.8611111111,5331.866666666667,474601.73333333334,2.4917670998324386,0.021690600731409937,2.4712550850309167,1.8407114083757696,2.0,1.9575839007004114,0.1354041721200485,2125.479103840822,0.15679842067125713
54.97,1748153.9888888889,5451.827777777778,1036681.25,2.2525003352578103,0.03178793889960829,2.0385104761819015,1.4840597398918394,0.7741935483870968,1.4886669401998722,0.09540458231488985,-223.46607808419637,0.11759451446613017
71.95,3141119.2222222225,5463.455555555556,1730721.938888889,2.1770206709841746,0.007914853252366535,1.9039556773130366,1.2599617087618953,1.5,1.2704633085204766,0.054850965626397685,7981.495444723392,0.07460959596355095
