P_mW,I3,I4,I5,K3,K4,K5,g2_33,g2_44,g2_55,collapse_3,collapse_4,collapse_5
10.056,10184.714814814815,5099.2240740740735,456.0962962962963,2.6912511964738184,0.0001068067140749175,4.7603523004890835,0.9986130374479889,1.3796791443850267,1.7142857142857142,-0.00019149448172119834,33282783.035144217,0.031520549113020414
21.758,81290.41481481481,5099.644444444444,17976.149999999998,2.8454564593985694,-0.003842116919432925,4.2905698088473905,1.0654259655661267,0.8446601941747572,1.1161925019941505,0.008080649168279753,-10523.049285942276,0.006311726309243767
36.906,386576.29629629635,5082.0370370370365,146380.60555555555,2.798621249533369,0.024787845459606217,3.290050805089365,1.0538165958884278,2.2682926829268295,1.0768607117605467,0.006871126889720697,2064.1531999912577,0.007100667769774855
53.281,1039096.0444444444,5169.677777777778,412026.4814814815,2.4676614908794825,0.06494681808780456,2.4032701683381408,1.0436667720344144,0.9488372093023255,1.0630005583179727,0.0071710032838441734,-12.12937624541756,0.010907851253875792
81.998,2686639.261111111,5366.172222222222,941178.098148148,2.0176495361104116,0.14475768651869458,1.7455892235915087,1.025744918719277,1.293103448275862,1.0433570320534067,0.006324119405522572,13.987421442106685,0.014229034790747584
94.882,3573573.8203703705,5496.531481481481,1204066.9314814815,1.9547536297477262,0.16446858676692985,1.6878802983582044,1.02164158146177,1.7349397590361446,1.0360618972944045,0.005663761242463916,27.16976119765115,0.012658005623190445
