P_mW,I3,I4,I5,K3,K4,K5,g2_33,g2_44,g2_55,collapse_3,collapse_4,collapse_5
7.7,39244.888333333336,9427.961666666666,771.0566666666667,2.8831197855153565,3.3240138982288907,4.873934880575304,1.084931506849315,1.0169050715214565,2.0869565217391304,0.010217472004260018,0.0015299997172756824,0.04575649271117256
11.5,124750.725,35767.17833333333,5447.038333333334,2.87698513091771,3.5968532523209404,4.838522104556013,1.0986064176908177,1.1470277875483643,0.9393511988716502,0.01191324152925602,0.011364595518581518,-0.0025905785277116474
13.7,206326.87999999998,68545.49666666666,12671.36,2.893410955436593,3.795657333643824,4.852296123268022,1.0958688390554425,1.1283083524392579,1.017401543896376,0.011451364146367025,0.008905963938478837,0.0007390829568169545
16.0,324124.23166666663,124901.81666666668,27015.415,2.9375898382967094,3.900668777409159,4.861735872776961,1.1021313294635147,1.1419687359709,1.2056942796794075,0.011835229144381067,0.009330707330748093,0.008702409035903445
18.5,498354.715,221073.62,54598.52833333333,3.0148169542821606,4.021968435732276,4.94316386701135,1.091004590057533,1.1291888570996174,1.1666266574410098,0.010012473964855393,0.007986338987313029,0.006819216314646049
21.0,734486.1055555556,371726.2333333333,103262.84166666665,2.9515498734723753,3.9610540717214917,4.849256332354944,1.0854207326130307,1.1226774289802555,1.138460033264847,0.009805348631555416,0.007818854361635838,0.005888086052317916
30.0,1887628.5,1328319.15,486763.425,2.4901546670751067,3.3359125888656287,4.063209742730976,1.0729719205427044,1.101578208038848,1.1155977746900045,0.011768012780937443,0.00912790733504614,0.007001820798951277
39.4,3602086.3219264555,3140283.5050786333,1388735.1731731892,2.1781111252319363,2.873135828115039,3.4893636797357033,1.0543750964911287,1.0753275006687573,1.083633786612907,0.011461460817701895,0.009125175847079265,0.006868933120762332
42.6,4251572.14302654,3905279.884283266,1809205.6313667232,2.122921465767412,2.7919161710066693,3.3871146096798608,1.0489450173827655,1.06698268254507,1.074765978353781,0.01086027019458718,0.008593256751485232,0.0065169477115288865
