P_mW,I3,I4,I5,K3,K4,K5,g2_33,g2_44,g2_55,collapse_3,collapse_4,collapse_5
22.0,147390.88148148148,5078.455555555555,46743.8574074074,2.8178405476063397,0.013321012259487112,3.0789394074106116,2.610915531295593,1.5,3.122827032500036,0.20288032894982236,2817.7051669073135,0.22393002313976404
31.1,390929.3759259259,5101.927777777778,135707.9351851852,2.5844380328996195,0.005395591825728019,2.7356490845055212,2.0532939925781974,1.7249999999999999,2.1664490595291523,0.15769479544471482,24903.46801808655,0.15586370743895206
39.8,709797.787037037,5101.611111111111,250871.8777777778,2.3236763066051083,0.016632196471555005,2.3496784990240656,1.7220801721270242,1.5,1.7112194377402767,0.13373163683006337,1807.4687245041648,0.12882101946895827
56.1,1506440.3296296296,5172.372222222222,525307.4055555556,2.0286088124692085,0.07030271405037425,1.9447265897166233,1.3588929672359673,1.2692307692307694,1.3080540255393076,0.08721041087031962,54.47290158947864,0.08145350628940046
73.0,2486507.085185185,5301.22962962963,840515.3962962963,1.7353318869434933,0.11182322981512094,1.6516062734392936,1.1701093463651533,1.2527472527472527,1.1463779294770173,0.05648889529419344,20.212609228624878,0.05366146833901961
108.0,4449648.614814814,5598.177777777777,1485033.7277777777,1.485800617519075,0.13915311409895584,1.453200135842302,1.0193307208631814,0.6352941176470589,1.0256395264151212,0.008756427991673525,-18.83462199464503,0.012141130845294588
